sim_time,trial,phase,gripper_open,ik_status,wrist_x,wrist_y,wrist_z,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j7_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j7_deg,obstacle_hits
235.65,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933745,0.686514,0.994698,1.213303,0.910503,80.0,-86.5587,-53.4996,39.3344,56.992,69.5171,52.168,1
235.7,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933745,0.686514,0.994698,1.213303,0.910503,80.0,-86.5587,-53.4996,39.3344,56.992,69.5171,52.168,1
235.75,7,place,0,ok,0.76514,-0.09937,1.12439,1.396264,-1.510735,-0.933745,0.686514,0.994698,1.213303,0.910503,80.0,-86.5587,-53.4996,39.3344,56.992,69.5171,52.168,1
235.8,7,place,0,ok,0.76438,-0.09936,1.1244,1.396264,-1.514124,-0.933451,0.68971,0.992748,1.211028,0.910584,80.0,-86.7529,-53.4828,39.5175,56.8803,69.3868,52.1726,1
235.85,7,place,0,ok,0.76219,-0.09934,1.12442,1.396264,-1.523842,-0.932629,0.698861,0.987161,1.204516,0.910854,80.0,-87.3097,-53.4357,40.0418,56.5602,69.0137,52.1881,1
235.9,7,place,0,ok,0.75843,-0.09943,1.12448,1.396264,-1.541024,-0.930951,0.71455,0.977281,1.193067,0.912032,80.0,-88.2942,-53.3396,40.9407,55.9941,68.3577,52.2556,1
235.95,7,place,0,ok,0.75398,-0.0996,1.12456,1.396264,-1.561638,-0.92899,0.733049,0.965393,1.179449,0.914042,80.0,-89.4753,-53.2272,42.0006,55.313,67.5775,52.3707,1
236.0,7,place,0,ok,0.74993,-0.09979,1.12463,1.396264,-1.580625,-0.927291,0.74983,0.95438,1.167026,0.916453,80.0,-90.5632,-53.1298,42.9621,54.682,66.8657,52.5089,1
236.05,7,place,0,ok,0.74772,-0.09987,1.12468,1.396264,-1.59098,-0.926526,0.759042,0.948328,1.160293,0.917879,80.0,-91.1565,-53.086,43.4899,54.3352,66.4799,52.5906,1
236.1,7,place,0,ok,0.74697,-0.09991,1.12471,1.396264,-1.594561,-0.926221,0.762248,0.946229,1.157943,0.918456,80.0,-91.3616,-53.0685,43.6736,54.2149,66.3453,52.6237,1
236.15,7,place,0,ok,0.74672,-0.09993,1.12474,1.396264,-1.595788,-0.926081,0.76337,0.945512,1.157118,0.918667,80.0,-91.4319,-53.0606,43.7379,54.1738,66.298,52.6357,1
236.2,7,place,0,ok,0.74663,-0.09994,1.12475,1.396264,-1.596207,-0.926022,0.763764,0.945267,1.156826,0.918742,80.0,-91.4559,-53.0572,43.7605,54.1598,66.2813,52.64,1
236.25,7,place,0,ok,0.7466,-0.09994,1.12475,1.396264,-1.59635,-0.925998,0.763902,0.945183,1.156723,0.918768,80.0,-91.4641,-53.0558,43.7684,54.155,66.2754,52.6416,1
236.3,7,place,0,ok,0.74659,-0.09994,1.12476,1.396264,-1.5964,-0.925988,0.763951,0.945155,1.156687,0.918778,80.0,-91.467,-53.0552,43.7712,54.1534,66.2733,52.6421,1
236.35,7,place,0,ok,0.74659,-0.1,1.12476,1.396264,-1.596637,-0.925793,0.763954,0.945031,1.156546,0.919078,80.0,-91.4805,-53.044,43.7714,54.1463,66.2652,52.6593,1
236.4,7,place,0,ok,0.74659,-0.10033,1.12475,1.396264,-1.597792,-0.924788,0.763889,0.944437,1.155881,0.920628,80.0,-91.5467,-52.9865,43.7676,54.1123,66.2271,52.7481,1
236.45,7,place,0,ok,0.74671,-0.10112,1.12475,1.396264,-1.599976,-0.922422,0.76323,0.943364,1.154675,0.924239,80.0,-91.6719,-52.8509,43.7299,54.0508,66.158,52.955,1
236.5,7,place,0,ok,0.74698,-0.10282,1.12475,1.396264,-1.604623,-0.917327,0.761772,0.941076,1.152122,0.932017,80.0,-91.9381,-52.5589,43.6463,53.9197,66.0117,53.4006,1
236.55,7,place,0,ok,0.74732,-0.10573,1.12474,1.396264,-1.612984,-0.908573,0.759691,0.936904,1.147541,0.945373,80.0,-92.4172,-52.0574,43.5271,53.6806,65.7492,54.1659,1
236.6,7,place,0,ok,0.74768,-0.10963,1.12473,1.396264,-1.624235,-0.896816,0.757073,0.93124,1.141478,0.963278,80.0,-93.0618,-51.3837,43.3771,53.3561,65.4018,55.1918,1
236.65,7,place,0,ok,0.74805,-0.11357,1.12473,1.396264,-1.635041,-0.884926,0.754086,0.925787,1.135852,0.981319,80.0,-93.6809,-50.7025,43.206,53.0437,65.0795,56.2254,1
236.7,7,place,0,ok,0.74836,-0.11572,1.12475,1.396264,-1.640206,-0.878395,0.751842,0.923225,1.133367,0.991132,80.0,-93.9769,-50.3283,43.0773,52.8969,64.9372,56.7877,1
236.75,7,place,0,ok,0.74847,-0.11637,1.12475,1.396264,-1.64185,-0.876188,0.751014,0.92238,1.132583,0.994514,80.0,-94.0711,-50.2019,43.0299,52.8485,64.8922,56.9815,1
236.8,7,place,0,ok,0.7485,-0.11656,1.12474,1.396264,-1.642361,-0.875459,0.750724,0.922088,1.132309,0.995687,80.0,-94.1004,-50.1601,43.0133,52.8318,64.8765,57.0486,1
236.85,7,place,0,ok,0.74851,-0.11662,1.12474,1.396264,-1.642521,-0.875208,0.750626,0.92199,1.132212,0.996092,80.0,-94.1095,-50.1457,43.0077,52.8261,64.871,57.0718,1
236.9,7,place,0,ok,0.74852,-0.11664,1.12474,1.396264,-1.64257,-0.875122,0.750592,0.921956,1.132178,0.996231,80.0,-94.1123,-50.1408,43.0058,52.8242,64.869,57.0799,1
236.95,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642586,-0.875093,0.750581,0.921945,1.132166,0.99628,80.0,-94.1132,-50.1391,43.0051,52.8236,64.8683,57.0826,1
237.0,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642591,-0.875083,0.750577,0.921941,1.132161,0.996296,80.0,-94.1135,-50.1385,43.0049,52.8233,64.8681,57.0836,1
237.05,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642592,-0.875079,0.750576,0.92194,1.13216,0.996302,80.0,-94.1136,-50.1384,43.0048,52.8233,64.868,57.0839,1
237.1,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642593,-0.875078,0.750576,0.92194,1.132159,0.996304,80.0,-94.1136,-50.1383,43.0048,52.8232,64.8679,57.084,1
237.15,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642593,-0.875078,0.750576,0.921939,1.132159,0.996305,80.0,-94.1136,-50.1383,43.0048,52.8232,64.8679,57.0841,1
237.2,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642593,-0.875078,0.750576,0.921939,1.132159,0.996305,80.0,-94.1136,-50.1383,43.0048,52.8232,64.8679,57.0841,1
237.25,7,place,0,ok,0.74852,-0.11665,1.12474,1.396264,-1.642593,-0.875078,0.750575,0.921939,1.132159,0.996305,80.0,-94.1136,-50.1383,43.0048,52.8232,64.8679,57.0841,1
237.3,7,place,0,ok,0.74784,-0.11664,1.12475,1.396264,-1.64563,-0.874847,0.753337,0.920198,1.13027,0.996762,80.0,-94.2876,-50.1251,43.1631,52.7235,64.7597,57.1103,1
237.35,7,place,0,ok,0.74594,-0.11663,1.12477,1.396264,-1.654154,-0.874206,0.761077,0.915311,1.124979,0.998078,80.0,-94.776,-50.0883,43.6065,52.4434,64.4566,57.1857,1
237.4,7,place,0,ok,0.7434,-0.11661,1.12481,1.396264,-1.665636,-0.873371,0.771452,0.908704,1.117891,0.999977,80.0,-95.4339,-50.0405,44.201,52.0649,64.0505,57.2945,1
237.45,7,place,0,ok,0.74154,-0.11662,1.12484,1.396264,-1.674111,-0.87277,0.779065,0.903802,1.112694,1.001523,80.0,-95.9195,-50.006,44.6371,51.784,63.7527,57.383,1
237.5,7,place,0,ok,0.74079,-0.11663,1.12486,1.396264,-1.677596,-0.872494,0.782199,0.901783,1.110555,1.002221,80.0,-96.1192,-49.9902,44.8167,51.6683,63.6301,57.423,1
237.55,7,place,0,ok,0.74054,-0.11664,1.12488,1.396264,-1.678794,-0.872372,0.783294,0.901089,1.109804,1.002475,80.0,-96.1878,-49.9832,44.8795,51.6286,63.5871,57.4376,1
237.6,8,place,1,ok,0.74045,-0.11664,1.12489,1.396264,-1.679204,-0.872319,0.783678,0.900852,1.109538,1.002565,80.0,-96.2113,-49.9802,44.9015,51.615,63.5719,57.4428,1
237.65,8,place,1,ok,0.74044,-0.11683,1.12491,1.396264,-1.679345,-0.872295,0.783813,0.900772,1.109445,1.002597,80.0,-96.2194,-49.9788,44.9092,51.6104,63.5665,57.4446,1
237.7,8,place,1,ok,0.74049,-0.1172,1.12493,1.396264,-1.679392,-0.87229,0.78386,0.900744,1.109411,1.00261,80.0,-96.222,-49.9785,44.9119,51.6088,63.5646,57.4453,1
237.75,8,place,1,ok,0.74055,-0.11766,1.12496,1.396264,-1.679408,-0.872286,0.783877,0.900735,1.1094,1.002614,80.0,-96.223,-49.9783,44.9129,51.6083,63.5639,57.4456,1
237.8,8,place,1,ok,0.74061,-0.11814,1.12499,1.396264,-1.679414,-0.872284,0.783883,0.900732,1.109396,1.002616,80.0,-96.2234,-49.9782,44.9132,51.6082,63.5637,57.4456,1
237.85,8,place,1,ok,0.74068,-0.11863,1.12502,1.396264,-1.679417,-0.872283,0.783885,0.900731,1.109395,1.002616,80.0,-96.2235,-49.9782,44.9133,51.6081,63.5636,57.4457,1
237.9,8,place,1,ok,0.74075,-0.11912,1.12506,1.396264,-1.679417,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2235,-49.9781,44.9133,51.6081,63.5636,57.4457,1
237.95,8,place,1,ok,0.74082,-0.11962,1.12509,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2235,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.0,8,place,1,ok,0.74089,-0.12011,1.12512,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.05,8,place,1,ok,0.74095,-0.1206,1.12515,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.1,8,place,1,ok,0.74102,-0.1211,1.12518,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.15,8,place,1,ok,0.74109,-0.12159,1.12521,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.2,8,place,1,ok,0.74116,-0.12209,1.12524,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.25,8,place,1,ok,0.74123,-0.12258,1.12527,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.3,8,place,1,ok,0.7413,-0.12308,1.1253,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109394,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.35,8,place,1,ok,0.74137,-0.12357,1.12534,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109395,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.4,8,place,1,ok,0.74144,-0.12406,1.12537,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109395,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.45,8,place,1,ok,0.74151,-0.12456,1.1254,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109395,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.5,8,place,1,ok,0.74157,-0.12505,1.12543,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109395,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
238.55,8,place,1,ok,0.74164,-0.12555,1.12546,1.396264,-1.679418,-0.872283,0.783886,0.900731,1.109395,1.002616,80.0,-96.2236,-49.9781,44.9134,51.6081,63.5636,57.4457,1
